HLPIName,seriesReference,quarter,HLPI,NZHEC,NZHECName,NZHECShort,level,index,quarterlyChange,annualChange
All households,HPIQ.SALL01,2008Q2,allhh,1,Food,Food,group,2147483647,0.0,0.0
All households,HPIQ.SALL022,2023Q1,allhh,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2101,7.6,8.4
All households,HPIQ.SALL022,2023Q2,allhh,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2103,0.1,8.4
All households,HPIQ.SALL022,2023Q3,allhh,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2115,0.6,9.0
All households,HPIQ.SALL082,2008Q2,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4039,0.0,0.0
All households,HPIQ.SALL082,2008Q3,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3925,-2.8,0.0
All households,HPIQ.SALL082,2008Q4,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3641,-7.2,0.0
All households,HPIQ.SALL082,2009Q1,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3609,-0.9,0.0
All households,HPIQ.SALL082,2009Q2,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3593,-0.4,-11.0
All households,HPIQ.SALL082,2009Q3,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3550,-1.2,-9.6
All households,HPIQ.SALL082,2009Q4,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3380,-4.8,-7.2
All households,HPIQ.SALL082,2010Q1,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3174,-6.1,-12.1
All households,HPIQ.SALL082,2010Q2,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3037,-4.3,-15.5
All households,HPIQ.SALL082,2010Q3,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2884,-5.0,-18.8
All households,HPIQ.SALL082,2010Q4,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2698,-6.4,-20.2
All households,HPIQ.SALL082,2011Q1,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2551,-5.4,-19.6
All households,HPIQ.SALL082,2011Q2,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2380,-6.7,-21.6
All households,HPIQ.SALL082,2011Q3,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2159,-9.3,-25.1
All households,HPIQ.SALL091,2008Q2,allhh,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2205,0.0,0.0
All households,HPIQ.SALL091,2008Q3,allhh,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2086,-5.4,0.0
All households,HPIQ.SALL091,2008Q4,allhh,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2019,-3.2,0.0
Beneficiary,HPIQ.SBEN022,2023Q1,benef,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2096,7.6,8.3
Beneficiary,HPIQ.SBEN022,2023Q2,benef,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2097,0.0,8.3
Beneficiary,HPIQ.SBEN022,2023Q3,benef,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2110,0.6,8.9
Beneficiary,HPIQ.SBEN061,2023Q3,benef,6.1,Medical products, appliances and equipment,Medical products,subgroup,736,-29.5,-27.7
Beneficiary,HPIQ.SBEN082,2008Q2,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4588,0.0,0.0
Beneficiary,HPIQ.SBEN082,2008Q3,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4463,-2.7,0.0
Beneficiary,HPIQ.SBEN082,2008Q4,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4141,-7.2,0.0
Beneficiary,HPIQ.SBEN082,2009Q1,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4102,-0.9,0.0
Beneficiary,HPIQ.SBEN082,2009Q2,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4086,-0.4,-10.9
Beneficiary,HPIQ.SBEN082,2009Q3,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4040,-1.1,-9.5
Beneficiary,HPIQ.SBEN082,2009Q4,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3851,-4.7,-7.0
Beneficiary,HPIQ.SBEN082,2010Q1,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3619,-6.0,-11.8
Beneficiary,HPIQ.SBEN082,2010Q2,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3464,-4.3,-15.2
Beneficiary,HPIQ.SBEN082,2010Q3,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3290,-5.0,-18.6
Beneficiary,HPIQ.SBEN082,2010Q4,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3078,-6.4,-20.1
Beneficiary,HPIQ.SBEN082,2011Q1,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2911,-5.4,-19.6
Beneficiary,HPIQ.SBEN082,2011Q2,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2718,-6.6,-21.5
Beneficiary,HPIQ.SBEN082,2011Q3,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2451,-9.8,-25.5
Beneficiary,HPIQ.SBEN082,2011Q4,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2219,-9.5,-27.9
Beneficiary,HPIQ.SBEN091,2008Q2,benef,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2198,0.0,0.0
Beneficiary,HPIQ.SBEN091,2008Q3,benef,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2089,-5.0,0.0
Beneficiary,HPIQ.SBEN091,2008Q4,benef,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2028,-2.9,0.0
Beneficiary,HPIQ.SBEN091,2009Q1,benef,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,2001,-1.3,0.0
Expenditure quintile 1 (low),HPIQ.SEQ1022,2023Q1,expq1,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2100,7.6,8.5
Expenditure quintile 1 (low),HPIQ.SEQ1022,2023Q2,expq1,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2102,0.1,8.5
Expenditure quintile 1 (low),HPIQ.SEQ1022,2023Q3,expq1,2.2,Cigarettes and tobacco,Cigarettes and tobacco,subgroup,2114,0.6,9.1
Expenditure quintile 1 (low),HPIQ.SEQ1082,2008Q2,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4502,0.0,0.0
Expenditure quintile 1 (low),HPIQ.SEQ1082,2008Q3,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4380,-2.7,0.0
Expenditure quintile 1 (low),HPIQ.SEQ1082,2008Q4,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4076,-6.9,0.0
Expenditure quintile 1 (low),HPIQ.SEQ1082,2009Q1,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,4037,-1.0,0.0
